ID,α,Cluster
1.0,0.5495640089720931,2.0
2.0,1.4216782303912068,1.0
3.0,0.7407913348199568,3.0
4.0,0.9751579804606888,3.0
5.0,1.030816433875413,3.0
6.0,0.9648104335140035,3.0
7.0,1.3036934893594754,1.0
8.0,0.6039555010429807,2.0
9.0,1.0678886252880435,3.0
10.0,0.6766659927115629,2.0
11.0,1.0932189574930025,3.0
12.0,0.9644185064443614,3.0
13.0,0.787183204362371,3.0
14.0,1.013467932903998,3.0
15.0,1.1212085885768706,3.0
16.0,0.840806384292087,3.0
17.0,0.4722691634211984,2.0
18.0,0.6592854484587592,2.0
19.0,0.8309876676148359,3.0
20.0,0.42087671493814366,2.0
21.0,0.5507160992937447,2.0
22.0,1.0680801970250857,3.0
23.0,1.6882709920128764,1.0
24.0,0.7968319101262468,3.0
25.0,1.4146750846230285,1.0
26.0,1.089971621949078,3.0
27.0,1.0363450614946956,3.0
28.0,0.2733400121105194,2.0
29.0,0.6644529853852505,2.0
30.0,0.8150946492921669,3.0
31.0,0.5818045440426768,2.0
32.0,0.8881041933444599,3.0
33.0,1.3407478963851651,1.0
34.0,1.6561700548255698,1.0
35.0,1.3088330882254346,1.0
36.0,1.2488941432131673,1.0
37.0,1.0925020043956661,3.0
38.0,1.5971208515449602,1.0
39.0,0.5138324434853823,2.0
40.0,0.9474155187207233,3.0
41.0,0.4760798853472709,2.0
42.0,1.2660296173453793,1.0
43.0,0.506376129257997,2.0
44.0,0.7829089642901352,3.0
45.0,1.2037892909660448,1.0
46.0,1.4996110821282902,1.0
47.0,1.2268149346550714,1.0
48.0,1.2895863386161903,1.0
49.0,0.7719312799356463,3.0
50.0,0.8794695018569745,3.0
51.0,1.4766008478414216,1.0
52.0,1.4474838067414093,1.0
53.0,1.0693741347001973,3.0
54.0,1.47396386449712,1.0
55.0,1.4120741503531054,1.0
56.0,0.7226713829625838,2.0
57.0,1.165652657474056,1.0
58.0,0.8721779482076428,3.0
59.0,0.7734132605876803,3.0
60.0,1.0951644806492429,3.0
61.0,1.2785664332751825,1.0
62.0,0.8994625047869563,3.0
63.0,0.8919859167966873,3.0
64.0,1.1157221914210875,3.0
65.0,1.3719520730618755,1.0
66.0,0.9567024804503386,3.0
67.0,1.320441763235797,1.0
68.0,1.347368648410214,1.0
69.0,0.8554479456757679,3.0
70.0,0.9388878481996762,3.0
71.0,0.9330516032455861,3.0
72.0,1.254499445415729,1.0
73.0,0.739557399092405,3.0
74.0,0.6138330476352533,2.0
75.0,1.23988706252414,1.0
76.0,1.071069658596032,3.0
77.0,1.153894036514225,3.0
78.0,0.6683587458811309,2.0
79.0,0.7930609063893762,3.0
80.0,0.9821975164608082,3.0
81.0,1.2506521240178097,1.0
82.0,1.0113195632741703,3.0
83.0,0.003661924357565666,2.0
84.0,1.5774777198153285,1.0
85.0,1.624185757083988,1.0
86.0,0.4698946896796469,2.0
87.0,0.9571689141196866,3.0
