x,y
195.482,202.827
183.677,197.896
192.903,191.864
187.243,186.641
188.375,176.88
185.671,175.629
181.557,175.7
178.083,176.522
175.506,172.649
181.194,167.48
180.851,167.411
169.764,164.686
168.034,165.071
167.249,163.032
165.694,159.531
164.469,160.094
158.404,164.898
152.442,159.642
146.256,162.345
145.563,163.868
142.708,163.051
142.879,163.117
142.672,162.751
142.621,162.769
142.64,162.81
142.549,162.748
142.628,162.632
142.678,162.723
142.743,162.345
142.08,159.757
140.746,157.285
140.965,157.673
141.275,155.551
141.372,155.487
141.509,155.211
141.577,155.027
141.876,154.815
141.85,154.724
142.049,154.638
141.857,154.444
142.053,154.482
142.291,154.156
142.595,153.657
143.101,153.044
144.443,152.861
145.75,152.598
148.617,152.106
150.353,151.07
151.634,150.367
152.138,150.219
153.006,149.876
153.619,149.493
154.309,149.077
155.191,148.482
155.672,148.279
155.689,148.25
155.658,148.204
155.624,148.234
155.622,148.208
155.613,148.23
155.561,148.261
155.581,148.291
155.513,148.233
155.623,148.219
155.567,148.319
155.556,148.248
155.616,148.261
155.631,148.246
155.625,148.272
155.733,148.304
155.813,148.276
155.849,148.173
155.831,148.216
155.891,148.12
156.013,148.076
155.99,148.094
156.099,148.03
156.032,148.022
156.041,148.001
156.076,147.945
156.043,147.944
156.0,147.975
155.98,147.925
155.953,147.941
155.958,147.927
156.021,147.923
156.011,147.918
156.031,147.903
156.052,147.891
156.083,147.873
156.137,147.797
156.099,147.791
156.055,147.794
156.129,147.759
156.08,147.786
156.173,147.706
156.214,147.684
156.079,147.758
156.137,147.742
156.225,147.632
156.189,147.63
156.202,147.543
156.168,147.411
156.207,147.409
156.3,147.391
156.234,147.354
156.259,147.364
156.338,147.282
156.287,147.21
156.247,147.21
156.263,147.163
156.282,147.183
156.269,147.138
156.296,147.179
156.3,147.011
156.35,147.015
156.332,146.956
156.346,146.928
156.387,146.762
156.356,146.726
156.366,146.714
156.274,146.676
156.281,146.639
156.307,146.654
156.366,146.581
156.359,146.638
156.278,146.622
156.376,146.565
156.287,146.498
156.285,146.535
156.261,146.512
156.335,146.551
156.309,146.476
156.307,146.478
156.29,146.456
156.211,146.45
156.179,146.365
156.174,146.323
156.189,146.285
156.162,146.323
156.231,146.337
156.224,146.324
156.217,146.301
156.268,146.233
156.253,146.216
156.21,146.248
156.166,146.18
156.168,146.145
156.079,146.114
156.181,146.134
156.233,145.975
156.217,145.982
156.251,146.02
156.235,145.844
156.187,145.755
156.115,145.684
156.185,145.626
156.157,145.6
156.151,145.593
156.11,145.469
156.163,145.506
156.124,145.355
156.178,145.327
156.211,145.286
156.154,145.096
156.159,145.069
156.063,144.985
155.989,144.869
155.937,144.867
156.106,145.145
155.864,144.706
155.835,144.714
155.927,144.827
155.919,144.681
155.891,144.666
155.936,144.694
155.811,144.535
155.835,144.594
155.704,144.393
155.586,144.186
155.487,144.025
155.527,144.092
155.401,143.882
155.416,143.856
155.426,143.829
155.233,143.611
155.264,143.61
154.661,142.786
153.297,141.47
144.714,138.923
131.208,140.601
129.683,139.192
129.249,135.616
130.195,132.612
131.064,131.401
133.131,132.139
134.754,144.531
129.199,151.661
125.898,153.541
121.078,151.485
120.167,155.532
126.367,157.622
129.498,151.148
129.398,145.973
127.318,145.507
127.558,148.656
127.012,148.835
127.963,150.034
125.141,148.519
113.701,142.511
105.287,140.48
116.101,142.359
121.492,147.446
109.61,152.358
107.551,146.323
116.502,137.156
123.605,146.858
123.698,150.596
127.239,152.926
132.517,144.932
128.937,138.503
125.035,143.516
129.813,148.615
133.078,148.514
133.749,146.084
133.258,144.503
127.249,143.35
122.305,137.159
122.261,136.318
125.312,134.568
127.417,124.28
126.494,119.79
122.927,118.735
122.158,118.86
122.35,117.834
121.836,119.108
120.808,120.593
119.792,121.28
110.819,119.239
110.316,109.718
111.426,108.279
112.363,108.116
112.87,108.082
113.883,107.902
114.325,108.065
114.388,107.98
115.04,107.654
115.21,107.55
115.286,107.625
115.315,106.969
115.632,106.896
115.408,106.673
115.737,106.481
115.388,104.841
113.785,105.693
116.576,103.734
116.129,103.667
116.752,99.408
117.292,97.306
117.221,94.942
116.924,90.881
118.536,87.881
119.665,76.955
117.503,74.165
113.427,64.124
107.662,53.411
106.294,52.397
99.681,54.638
95.205,53.642
82.231,49.694
77.3,50.478
71.492,50.002
69.873,49.864
66.758,49.309
67.06,50.059
65.123,50.085
64.531,50.42
63.811,50.631
63.007,50.954
62.594,51.535
62.589,51.429
62.068,52.099
61.629,52.037
61.234,52.406
61.039,52.485
61.026,52.611
60.833,52.82
60.615,52.755
61.126,52.382
61.143,52.545
60.585,52.779
60.635,52.679
60.543,52.458
60.766,52.403
61.036,52.399
60.815,52.545
60.783,52.192
61.182,52.418
60.273,52.039
60.747,52.039
60.596,51.993
