x,y
351.501,705.657
349.1,706.174
346.941,704.138
342.298,697.856
341.643,697.854
341.747,698.415
342.362,698.172
341.876,698.418
341.744,698.419
341.887,698.424
341.573,698.136
340.479,690.912
340.674,690.278
336.866,692.029
339.018,683.742
340.001,682.429
334.648,682.941
337.896,688.092
349.616,682.62
355.737,685.991
358.548,692.408
341.996,695.931
341.66,688.538
345.572,683.698
347.234,676.463
347.604,659.591
343.799,651.234
339.644,648.078
336.488,638.277
332.579,623.015
330.89,618.971
330.206,617.914
331.412,621.483
332.183,636.632
332.082,635.413
330.26,640.382
327.361,645.78
328.36,645.354
331.61,640.758
335.489,637.652
337.66,638.269
337.391,637.508
337.198,636.446
337.341,635.752
332.984,625.61
336.275,635.85
332.875,635.7
332.264,626.145
330.934,626.865
324.819,625.98
323.971,626.974
323.64,627.395
318.396,632.341
317.997,635.715
319.972,643.047
320.397,646.913
320.528,648.242
321.844,645.765
326.22,633.032
328.357,633.311
325.999,632.303
320.867,632.327
319.871,632.717
319.903,631.416
319.025,633.206
318.466,633.554
317.135,636.88
317.714,639.433
317.872,640.627
325.419,649.096
