x,y
240.137,29.078
236.122,38.174
225.846,36.788
230.575,27.795
235.692,32.428
227.434,41.93
219.007,49.002
210.659,62.723
211.571,71.05
216.87,73.735
219.426,76.021
216.394,85.341
213.714,86.882
212.789,77.441
217.278,68.017
215.659,60.361
213.973,57.536
211.653,48.833
209.507,46.653
210.978,60.075
209.424,69.771
206.485,70.764
205.155,70.794
203.259,72.133
201.698,74.246
195.863,74.881
184.734,76.319
180.225,86.232
184.547,94.77
193.12,92.164
191.113,87.938
190.189,86.085
189.616,80.331
191.659,87.427
188.321,86.373
190.811,82.529
197.553,82.4
200.324,87.651
195.728,95.61
185.239,96.451
181.524,99.33
177.584,106.806
172.333,111.042
170.456,113.286
170.334,115.019
172.085,121.507
171.527,123.003
170.01,124.035
167.017,124.536
163.662,124.984
162.583,125.891
159.068,129.105
156.163,131.825
152.089,134.51
149.752,136.093
147.823,137.632
144.242,140.906
143.951,140.991
143.857,141.098
143.755,141.197
143.423,141.272
141.814,141.619
141.044,141.83
139.651,142.13
138.627,142.336
137.245,142.375
135.645,142.212
132.516,141.79
131.059,141.665
130.853,141.584
130.642,141.531
130.677,141.555
130.646,141.586
130.574,141.552
130.612,141.514
130.751,141.403
130.894,141.414
131.079,141.377
131.258,141.38
131.442,141.378
131.488,141.425
131.556,141.402
131.8,141.403
132.412,141.385
132.618,141.41
132.743,141.419
132.753,141.371
132.635,141.366
132.81,141.347
132.943,141.322
132.992,141.288
133.035,141.235
133.083,141.214
133.046,141.118
133.104,141.088
133.873,140.843
135.096,140.696
136.983,140.786
138.21,141.051
141.459,141.316
142.005,141.04
142.398,140.92
142.72,140.743
143.282,140.27
143.94,139.786
144.513,139.114
144.953,138.209
144.909,137.601
143.626,136.613
143.222,136.476
143.358,136.85
144.451,136.354
144.197,136.118
144.132,136.105
143.938,135.716
142.471,135.075
137.777,135.206
134.381,136.599
133.952,136.755
132.104,136.899
128.745,133.739
128.323,132.075
127.952,131.301
