x,y
363.023,597.733
356.021,605.027
345.519,600.014
354.582,592.205
365.609,600.902
365.855,608.811
372.549,615.614
374.232,619.386
370.629,620.19
365.251,613.082
365.284,604.201
370.416,601.842
379.931,609.412
385.02,614.587
392.693,607.887
398.991,593.814
405.437,577.632
400.711,579.093
391.0,572.395
393.05,565.074
395.847,567.944
397.321,570.499
397.27,570.529
397.494,570.674
397.526,570.801
397.437,570.922
398.071,571.138
398.674,571.578
399.08,571.859
395.274,570.334
394.936,566.732
388.662,565.847
393.732,574.488
402.842,580.012
411.799,569.446
406.993,564.312
403.975,568.411
407.276,576.501
410.067,580.963
401.042,588.121
388.131,590.508
381.108,597.687
373.425,592.814
366.798,578.877
379.137,564.47
395.355,559.358
411.262,544.241
420.002,538.417
431.479,533.49
438.144,526.994
442.203,526.541
439.028,529.275
436.159,529.261
437.404,514.162
439.234,503.297
434.992,492.746
428.275,497.634
428.895,503.929
421.984,502.098
423.881,494.454
430.487,498.179
419.254,510.387
409.041,505.369
405.314,496.902
388.749,492.529
372.978,507.199
374.352,517.698
374.862,529.78
364.604,541.558
361.07,550.587
345.516,555.141
334.347,555.014
323.204,551.717
326.375,539.065
344.997,537.481
363.216,542.462
373.762,549.035
382.993,535.649
371.913,532.488
360.619,529.439
357.798,520.038
352.306,521.816
360.257,529.686
371.819,539.442
368.081,542.825
353.404,539.59
348.951,532.681
349.207,529.335
338.473,521.732
335.733,520.043
335.8,519.595
335.662,518.404
335.736,517.774
335.693,517.573
335.665,517.796
337.506,516.043
344.891,518.722
347.738,531.826
351.4,546.031
342.45,555.949
337.615,558.69
336.852,559.248
337.685,559.586
344.324,560.773
341.452,558.817
347.561,569.556
347.797,570.75
347.904,571.016
349.87,572.132
351.429,572.606
352.597,572.736
354.715,572.412
359.607,578.256
362.514,581.208
366.256,584.572
369.983,587.957
373.118,592.447
374.863,595.599
376.047,597.626
376.074,598.044
376.072,597.992
376.596,598.312
376.255,598.246
376.73,600.007
379.975,604.419
384.468,607.841
389.03,612.431
390.262,613.544
390.37,614.282
390.398,614.608
391.098,615.752
388.012,622.2
387.379,624.172
386.445,626.431
384.283,631.548
383.608,635.729
382.503,636.28
381.446,637.253
380.486,637.842
379.586,638.851
379.999,637.9
378.752,640.557
378.723,639.509
383.351,637.296
388.925,643.646
388.917,647.328
389.488,648.116
390.878,658.341
391.888,661.347
391.843,659.262
389.731,652.652
389.141,648.035
387.789,641.879
386.376,628.01
389.561,620.11
393.719,616.385
395.475,616.108
400.558,616.739
403.069,617.315
404.633,616.653
405.939,614.307
411.678,612.56
415.016,612.033
423.929,610.298
431.068,617.769
432.08,616.526
434.506,615.913
441.031,616.196
445.405,616.988
450.55,617.384
454.78,620.763
456.98,623.377
461.3,626.975
461.801,627.741
462.219,627.849
462.227,628.015
462.237,628.01
462.269,628.083
462.779,630.704
463.006,631.642
462.673,631.859
462.956,633.553
462.139,634.669
464.122,636.686
463.199,640.329
461.174,644.65
459.506,648.33
458.46,648.981
457.844,649.629
457.235,650.966
457.31,651.792
458.36,652.636
459.044,653.278
459.816,654.419
459.574,655.829
459.407,655.75
458.858,655.803
459.232,656.05
458.57,656.007
458.379,656.163
458.891,658.744
460.13,661.141
458.799,660.033
459.531,662.212
463.878,667.633
464.133,667.546
463.661,667.346
464.131,667.659
463.832,667.869
462.66,670.413
463.903,669.034
463.234,668.031
462.953,669.136
462.638,668.899
463.211,668.576
462.816,669.454
462.474,667.25
462.621,668.224
463.991,668.844
463.081,670.793
462.575,671.656
463.087,674.84
462.478,674.448
462.712,673.597
462.635,675.108
462.759,675.143
462.408,674.992
462.457,674.684
462.71,674.483
462.853,674.822
462.681,674.13
462.368,674.83
461.85,675.391
461.903,674.743
461.888,675.078
461.999,674.844
462.126,675.013
462.452,674.577
462.627,674.161
461.457,675.202
461.364,675.656
462.478,675.433
461.302,674.85
461.623,676.536
461.998,675.452
461.262,674.877
461.585,675.303
461.519,674.604
461.456,674.562
461.603,674.733
462.604,675.287
461.103,675.75
461.368,674.301
461.172,675.179
462.835,674.67
461.337,675.564
461.194,676.003
460.404,674.13
460.674,675.015
461.103,675.393
461.128,675.739
461.856,675.035
460.571,675.22
