x,y
228.917,265.424
228.712,262.984
228.243,261.912
226.075,263.031
223.561,264.724
218.414,273.384
219.163,279.265
221.165,291.503
220.233,293.92
219.221,302.092
222.957,308.599
225.716,316.388
222.184,334.585
217.122,341.901
213.257,352.784
207.716,365.013
209.855,380.47
211.911,390.536
213.124,394.091
218.311,393.517
224.156,391.183
216.28,386.313
218.926,374.08
226.522,357.767
229.912,346.305
227.757,335.112
225.607,328.449
223.575,323.981
222.422,321.619
222.115,312.043
221.375,300.19
221.133,295.613
213.738,288.571
