x,y
315.993,332.21
330.683,340.387
341.531,347.526
342.849,352.885
350.688,368.207
359.373,377.805
365.961,388.669
370.849,402.455
376.804,412.301
383.346,423.602
392.539,424.15
400.574,423.254
402.406,429.243
397.967,451.163
400.661,467.483
399.296,482.752
401.51,491.407
403.278,493.959
403.873,496.734
404.175,502.416
404.519,505.729
405.076,510.137
405.238,511.855
405.239,512.28
405.279,512.181
405.225,512.101
405.171,512.139
405.217,512.143
405.247,512.11
405.203,512.283
405.212,512.218
405.23,512.302
405.152,513.748
404.732,516.861
404.531,519.106
404.269,521.321
404.154,522.175
404.015,522.752
403.979,523.026
404.001,523.24
403.966,523.057
404.022,523.071
404.031,523.229
404.031,523.141
403.999,523.077
403.95,523.258
404.004,523.127
404.05,523.402
404.035,523.308
403.989,523.391
403.993,523.384
404.091,523.275
403.995,523.323
404.032,523.332
404.036,523.354
404.039,523.386
404.033,523.342
404.059,523.436
404.095,523.493
404.044,523.38
404.011,523.354
404.051,523.516
403.984,523.434
404.051,523.605
404.136,523.648
404.028,523.39
404.159,523.575
404.112,523.58
404.049,523.486
404.067,523.594
404.057,523.668
404.073,523.656
404.077,523.695
404.077,523.555
404.023,523.563
404.014,523.664
404.018,523.508
404.049,523.592
404.06,523.652
404.076,523.493
404.109,523.706
404.023,523.323
404.015,523.6
403.981,523.528
403.965,523.658
403.989,523.561
403.972,523.424
403.96,523.432
403.948,523.498
403.962,523.49
403.916,523.447
403.949,523.38
403.938,523.453
404.022,523.652
403.944,523.594
403.971,523.477
403.99,523.541
403.949,523.521
403.903,523.703
403.913,523.645
403.968,523.617
403.935,523.64
403.916,523.814
404.002,523.834
403.974,523.865
404.008,523.938
404.005,523.801
403.963,523.989
403.979,524.044
404.022,524.034
403.931,524.059
403.943,524.107
403.934,524.042
404.004,524.151
404.001,524.112
404.027,524.064
403.952,524.05
403.942,524.146
403.996,524.133
404.012,524.13
404.019,524.273
403.99,524.17
403.98,524.235
404.059,524.327
403.942,524.31
404.004,524.185
403.992,524.351
403.974,524.238
403.969,524.321
403.978,524.217
404.009,524.28
403.956,524.189
403.985,524.298
403.943,524.335
403.944,524.208
403.959,524.361
403.951,524.339
403.901,524.149
403.967,524.378
403.973,524.334
403.929,524.351
403.944,524.318
403.971,524.226
403.908,524.236
403.943,524.25
403.912,524.324
403.937,524.364
403.895,524.284
403.948,524.356
403.908,524.284
403.972,524.313
403.931,524.471
403.879,524.284
403.998,524.411
403.979,524.178
403.899,524.329
403.973,524.354
403.964,524.449
404.02,524.327
403.968,524.416
403.97,524.414
404.023,524.443
403.978,524.64
403.969,524.489
404.004,524.627
404.05,524.539
404.025,524.428
403.907,524.641
404.067,524.439
403.985,524.68
404.02,524.628
403.979,524.468
403.981,524.483
403.882,524.497
404.008,524.477
403.988,524.428
403.994,524.413
404.008,524.553
403.982,524.55
403.941,524.6
403.946,524.566
403.974,524.559
403.937,524.543
403.956,524.557
403.892,524.612
403.972,524.559
403.988,524.645
403.905,524.681
403.911,524.543
403.908,524.535
403.931,524.561
403.893,524.56
403.916,524.571
403.954,524.333
403.917,524.345
403.963,524.406
403.921,524.43
403.979,524.501
403.838,524.516
403.943,524.631
404.015,524.598
403.938,524.54
403.95,524.755
403.925,524.724
403.912,524.877
404.022,525.116
403.968,525.629
403.865,526.934
403.095,530.916
399.408,538.006
392.946,546.93
382.935,558.891
381.853,567.564
387.534,585.226
395.835,591.007
401.153,592.597
402.024,594.447
402.8,598.246
401.799,599.795
401.119,600.06
400.558,600.011
400.428,600.928
402.629,606.045
403.541,607.868
403.971,608.533
404.24,609.026
404.442,609.36
404.477,609.5
404.411,609.416
404.542,609.384
404.427,609.462
404.473,609.477
404.456,609.448
404.497,609.592
404.483,609.625
404.577,609.68
404.837,610.015
405.336,610.899
405.628,611.752
405.704,612.774
405.645,613.399
405.086,614.526
405.207,614.152
405.151,614.188
405.051,614.322
405.268,614.216
405.075,614.223
404.812,614.509
404.129,615.384
404.464,614.502
404.372,614.432
403.778,614.311
403.276,614.052
401.799,613.086
395.292,608.623
394.861,608.411
394.405,608.053
394.396,608.091
394.153,608.026
393.609,607.597
390.807,605.272
389.156,603.609
388.513,602.591
387.9,600.297
390.704,599.009
392.482,599.432
393.457,599.876
396.889,600.586
400.311,600.797
403.076,600.203
403.351,600.287
402.764,600.307
396.375,596.92
386.245,597.134
382.01,599.866
379.073,602.45
382.014,600.022
391.583,598.802
395.533,601.753
394.528,593.79
393.448,589.56
393.384,589.058
393.305,588.918
393.342,588.855
393.236,588.775
393.352,588.904
393.302,588.839
393.285,588.789
393.273,588.704
393.236,588.674
393.237,588.54
393.085,588.209
392.905,586.717
393.037,585.591
393.211,585.023
393.805,585.785
394.363,592.446
393.973,599.23
394.358,599.707
399.705,596.495
411.287,594.282
414.271,593.371
416.805,591.81
427.184,581.715
438.661,578.204
447.945,575.708
447.498,559.604
437.973,547.593
429.821,541.286
424.051,523.588
415.721,508.692
414.006,495.198
406.284,478.556
395.946,462.402
390.834,450.18
391.487,448.608
