x,y
89.07,308.406
79.274,313.115
80.771,313.381
80.663,310.96
83.137,308.146
91.266,303.312
91.301,300.496
96.245,301.545
92.177,306.614
84.56,301.525
87.916,304.005
89.015,312.479
88.732,313.812
83.248,317.123
79.39,311.27
91.311,316.763
92.945,321.163
91.838,324.799
96.88,322.276
101.279,323.343
103.361,324.848
102.568,324.877
100.599,325.427
107.639,330.992
102.203,325.606
96.211,332.672
107.273,330.078
100.24,319.637
98.483,331.087
103.489,329.202
102.006,327.879
105.904,334.113
107.963,331.268
101.811,332.252
105.189,340.98
98.887,341.518
98.702,343.633
103.559,347.262
94.764,349.088
94.844,345.406
86.995,347.597
88.309,359.505
93.485,358.083
90.996,360.527
90.879,361.446
91.543,361.524
91.613,361.393
99.559,363.083
99.373,358.153
98.712,366.439
98.464,365.013
92.861,366.994
97.799,370.199
88.642,365.708
96.573,371.542
86.987,380.559
83.883,369.153
84.123,357.447
88.894,348.495
92.786,347.5
89.741,350.555
92.654,343.57
94.883,354.6
89.558,346.388
94.946,349.796
89.807,347.72
89.335,344.836
91.422,343.951
94.159,345.438
91.869,346.575
94.555,342.784
97.279,346.81
89.162,347.314
92.698,344.616
95.455,350.624
94.962,352.994
96.8,360.423
102.864,363.552
103.296,365.376
103.271,363.383
95.523,357.433
93.368,356.383
93.068,356.768
91.997,357.247
91.664,356.609
91.459,352.384
92.357,352.203
97.509,358.647
99.769,360.287
103.41,362.461
105.835,364.021
106.099,364.345
106.835,364.176
106.037,364.465
107.615,364.429
110.433,367.092
110.825,368.935
113.238,367.021
113.251,366.566
113.106,366.696
113.107,366.389
113.12,366.605
112.949,366.631
112.832,366.777
112.764,366.777
112.731,366.446
112.896,366.602
112.655,366.442
112.664,367.021
112.345,367.854
112.601,368.724
113.202,369.261
116.914,369.82
120.275,371.402
120.634,371.536
120.586,371.918
120.869,372.012
121.476,371.828
121.908,371.566
121.821,371.569
122.407,371.258
122.377,371.242
122.226,371.22
122.576,371.233
122.449,371.221
122.546,371.148
122.889,370.778
