x,y
269.853,236.587
267.952,245.725
267.605,245.445
267.333,245.753
267.267,245.611
267.066,245.651
266.942,245.938
267.026,245.752
266.97,245.717
266.945,245.671
266.805,245.976
266.943,245.696
266.998,245.688
266.996,245.693
266.942,245.66
266.973,245.691
266.868,245.669
266.879,245.834
266.814,245.774
266.961,245.742
266.923,245.701
266.775,245.634
266.612,245.688
265.285,245.5
262.098,244.344
262.403,244.967
261.391,244.884
260.491,244.59
258.157,244.417
257.468,245.611
256.124,247.092
254.567,248.228
253.692,249.148
253.685,248.793
252.948,249.184
252.395,249.271
251.366,250.033
249.316,252.288
248.329,254.607
247.091,261.154
244.879,266.451
246.129,270.275
258.003,270.916
268.809,268.911
278.531,262.517
281.126,258.367
281.67,257.533
281.969,257.356
282.097,257.296
282.223,257.217
282.155,257.276
281.927,257.373
282.034,257.404
282.074,257.22
282.16,257.301
282.206,257.264
282.132,257.323
282.124,257.255
282.006,257.417
282.039,257.365
282.051,257.479
282.108,257.432
282.003,257.418
282.173,257.315
282.155,257.341
282.079,257.323
282.068,257.345
282.056,257.345
282.126,257.21
282.121,257.229
282.021,257.322
282.015,257.269
282.047,257.293
282.119,257.252
282.062,257.206
282.113,257.227
282.095,257.219
282.052,257.257
282.016,257.173
282.041,257.201
281.982,257.297
282.1,257.137
282.079,257.286
282.117,257.13
282.158,257.145
282.051,257.271
282.086,257.221
282.129,257.308
282.117,257.133
281.97,257.232
282.047,257.189
281.994,257.248
282.122,257.262
282.103,257.149
282.236,257.115
282.551,256.802
282.903,256.49
282.852,256.476
283.078,256.231
283.448,255.652
284.326,252.903
282.667,249.574
280.205,242.566
277.818,236.261
276.981,232.152
276.61,230.68
275.163,228.292
273.21,232.134
272.681,240.113
275.503,248.928
276.575,254.482
276.346,254.856
277.624,257.361
277.376,263.464
278.404,274.867
280.485,276.979
283.034,278.232
286.981,273.751
293.226,267.005
296.467,261.813
297.388,251.758
296.819,246.445
297.504,241.875
290.254,232.164
285.888,223.774
285.59,222.776
285.46,222.368
285.416,222.362
285.124,221.766
284.491,220.87
279.977,226.084
276.057,230.149
275.252,239.982
278.579,243.865
286.239,239.599
286.9,230.789
281.873,222.634
277.503,220.191
267.984,216.769
255.633,209.391
243.858,200.44
233.658,192.975
226.797,185.951
222.705,180.241
223.146,171.584
222.03,167.488
219.198,164.479
211.244,159.909
205.111,157.607
200.988,158.76
200.339,158.521
198.748,158.636
196.978,166.601
203.115,172.827
205.775,175.496
209.076,177.973
212.823,180.691
219.603,185.094
227.716,190.713
229.301,192.957
231.018,197.255
230.749,198.661
230.54,198.74
230.482,198.845
230.641,198.924
231.085,199.694
228.158,204.15
222.92,205.52
219.895,206.842
216.845,208.61
214.186,212.88
213.659,215.923
213.559,218.023
211.706,228.461
208.691,234.296
209.507,237.2
209.629,247.756
218.007,262.164
233.335,270.252
239.707,269.881
241.5,269.611
245.587,269.842
253.365,265.441
260.004,257.261
265.374,240.068
264.275,230.82
262.941,227.059
253.216,212.772
249.737,208.83
240.921,196.801
233.199,192.244
222.139,186.044
214.347,186.331
203.556,188.216
199.409,188.747
188.341,188.399
181.74,201.257
182.183,214.958
182.624,233.95
183.505,251.967
184.056,269.183
182.449,282.244
184.425,292.454
203.009,297.711
214.787,300.89
222.164,298.415
225.157,293.142
225.178,294.552
223.118,300.009
219.756,308.416
217.205,319.5
210.843,336.978
201.85,343.297
196.68,351.066
190.865,354.261
187.268,367.802
190.286,384.729
192.357,402.202
194.384,416.013
191.577,430.193
191.774,432.717
191.644,444.348
190.742,456.33
186.894,475.978
180.945,489.041
180.414,511.149
192.569,521.737
206.233,530.292
222.109,541.825
228.436,553.584
230.53,566.148
231.392,581.927
239.431,591.992
244.477,593.181
253.549,590.686
264.341,594.369
274.29,611.003
283.61,626.336
294.541,641.74
304.869,651.948
304.903,652.264
305.396,652.356
307.134,655.707
307.277,670.192
311.688,683.138
313.095,691.329
313.158,692.113
313.198,697.132
314.674,710.195
317.041,722.969
317.134,726.539
317.596,728.018
319.212,734.175
325.161,740.228
334.11,744.768
332.891,753.999
329.557,761.364
327.513,762.224
326.22,755.238
316.67,743.985
312.841,741.87
312.699,741.698
312.599,741.441
312.267,741.069
311.145,740.35
307.825,738.08
306.715,737.301
306.733,737.367
306.695,737.296
306.408,737.23
306.599,737.374
306.522,737.225
306.718,737.399
306.691,737.299
306.611,737.392
306.488,737.319
306.342,737.245
306.475,737.266
306.446,737.228
306.37,737.193
306.448,737.18
306.18,737.055
305.891,736.908
305.954,737.052
306.024,736.937
306.018,736.942
306.066,736.983
306.04,736.949
305.857,736.925
305.898,736.93
306.255,737.009
306.295,736.977
306.442,737.04
305.916,736.753
304.962,737.315
302.554,736.99
298.381,728.603
298.875,728.938
299.176,728.943
302.146,730.479
308.791,733.31
319.403,729.04
313.204,719.074
311.52,718.804
311.29,719.506
309.266,729.888
317.111,731.638
324.158,737.703
328.055,742.081
330.319,746.897
335.636,750.345
339.655,751.445
342.897,751.703
355.501,758.964
354.859,768.053
358.336,779.732
358.077,780.799
358.161,781.079
357.099,782.436
351.757,792.466
344.677,799.994
342.731,801.743
341.588,803.25
337.393,811.202
337.361,814.718
336.861,819.66
338.95,825.625
337.848,827.495
336.027,831.205
335.274,834.236
335.925,838.839
330.831,848.955
330.099,851.185
330.381,851.152
327.584,862.199
327.449,867.739
331.204,872.664
337.763,878.589
345.39,885.941
351.039,886.447
361.704,884.197
371.284,885.289
382.25,885.96
386.248,888.195
387.931,877.095
383.53,872.764
382.364,871.711
377.901,866.69
