x,y
296.945,430.967
301.355,426.073
309.643,431.157
301.27,433.572
292.025,423.34
299.123,418.784
300.193,423.641
290.624,419.581
273.017,415.515
266.89,414.241
262.277,409.906
253.34,402.208
255.286,388.064
262.411,378.872
265.303,370.677
261.352,366.802
260.044,367.978
265.569,365.593
269.799,363.036
274.185,360.042
274.188,360.009
274.067,360.681
274.499,360.65
274.362,360.608
274.849,360.601
274.211,360.964
274.905,360.96
277.693,363.289
278.715,363.786
278.859,362.694
278.18,362.887
279.171,362.562
278.841,362.96
278.512,362.678
278.474,362.976
278.571,363.134
278.767,362.461
278.631,361.182
278.922,361.592
279.414,362.116
279.274,359.5
280.926,354.741
286.655,350.142
292.816,349.973
295.133,349.981
298.897,354.896
297.625,362.434
297.343,363.143
298.257,362.675
298.37,362.057
298.114,362.635
298.075,362.294
298.06,362.274
298.399,362.497
297.736,363.071
297.739,363.273
298.494,363.294
299.349,362.364
299.341,364.886
298.739,367.136
298.858,367.608
298.59,370.234
300.646,372.436
305.284,369.754
306.094,368.216
305.559,365.529
305.035,362.614
303.322,361.755
303.251,359.802
300.509,361.936
305.659,360.614
306.459,357.282
306.012,355.995
302.421,353.036
297.727,349.205
294.259,349.077
291.818,347.998
289.043,348.018
289.002,347.37
285.727,347.485
287.52,348.202
286.765,347.484
283.391,350.431
279.743,354.367
279.145,355.754
278.789,355.893
279.001,361.749
280.429,364.246
280.97,365.525
280.357,363.102
279.846,359.846
278.709,357.841
278.644,357.859
279.729,357.548
278.32,357.721
279.291,357.412
277.807,358.964
275.346,359.801
274.904,359.55
274.079,358.997
272.987,359.877
272.517,360.273
272.778,362.327
274.786,363.157
274.715,363.526
275.097,362.897
276.196,359.896
275.465,356.31
273.209,355.537
272.424,355.283
269.397,357.173
269.994,356.891
268.688,357.275
268.416,358.075
268.291,357.973
268.527,357.794
268.805,357.507
268.402,357.699
268.014,358.086
267.802,358.128
267.832,358.204
267.647,358.258
267.655,358.571
267.196,361.208
265.927,363.178
263.18,364.378
262.775,366.217
261.904,372.286
263.215,373.694
263.865,374.279
263.302,374.576
267.268,377.319
270.07,376.757
271.829,377.118
272.755,377.199
275.948,381.309
271.633,382.041
270.969,382.158
268.47,380.157
265.002,377.892
265.449,378.246
268.484,380.295
268.678,380.582
266.359,379.942
265.586,378.218
265.096,378.454
267.438,380.457
268.83,380.815
268.98,382.462
269.171,382.572
268.935,382.564
268.81,381.593
268.592,381.202
267.464,379.781
267.261,380.319
267.566,379.68
267.453,380.1
267.43,380.496
267.578,379.863
267.388,379.847
267.225,380.298
267.602,379.64
267.168,379.674
266.999,379.324
266.996,378.804
266.903,379.748
266.514,380.454
266.361,380.231
266.451,379.36
262.684,375.997
261.891,373.883
261.447,372.615
262.063,369.25
263.314,366.65
265.654,363.494
266.753,364.377
274.927,362.198
276.272,363.081
277.447,362.438
277.317,363.555
278.581,363.31
278.954,360.892
278.391,356.248
278.569,354.965
279.579,360.587
279.696,362.155
279.445,361.627
278.083,359.156
276.623,357.672
276.939,356.089
277.373,355.706
280.254,353.535
283.067,354.225
280.163,359.095
277.983,356.959
275.291,357.38
276.226,357.417
274.717,357.489
276.106,357.436
282.629,359.188
286.479,359.073
292.318,358.201
300.601,357.612
302.984,364.95
304.09,368.243
303.412,372.075
298.502,372.532
289.417,372.744
280.546,375.859
276.254,379.106
268.291,390.331
270.063,395.842
272.018,399.503
272.433,400.538
272.909,401.268
272.916,403.106
275.296,404.677
