x,y
402.336,404.533
403.53,406.445
401.335,406.511
400.23,400.118
402.346,399.408
407.072,406.046
406.779,406.954
405.417,405.521
412.596,405.772
414.358,407.54
414.393,407.43
414.272,407.277
414.339,407.872
409.139,411.583
412.773,408.488
413.493,413.678
410.213,411.914
410.414,412.203
410.391,412.214
411.943,412.48
410.554,411.873
410.486,411.87
409.006,411.389
409.051,411.241
410.656,412.104
409.768,410.092
410.552,412.171
410.317,411.982
410.486,411.866
410.542,411.899
410.398,411.716
410.488,411.855
410.675,412.363
410.225,411.52
409.611,410.768
409.477,410.701
409.609,410.772
409.23,409.355
407.407,406.62
412.874,407.082
422.901,408.037
430.108,411.034
429.718,415.385
423.864,424.721
422.471,432.01
425.56,439.68
428.275,445.355
416.524,449.226
417.538,441.096
417.26,428.281
417.927,425.449
410.89,415.13
402.625,416.416
411.467,423.494
418.48,420.203
417.102,421.105
418.813,436.069
421.325,439.138
424.09,429.98
415.636,422.906
401.708,419.051
403.831,422.895
392.079,418.425
390.259,418.118
390.263,419.298
379.561,415.364
386.369,411.684
400.707,422.117
403.86,429.777
401.162,436.288
402.247,428.351
399.946,423.802
400.915,425.088
400.738,429.253
400.727,429.337
398.613,429.478
397.466,430.966
399.063,431.747
399.502,430.463
398.507,427.915
392.815,423.873
