x,y
398.212,451.948
402.514,455.569
397.145,451.594
389.871,450.268
389.668,455.851
362.731,468.364
363.082,467.865
369.638,468.995
368.788,475.009
367.661,466.784
367.967,464.605
363.273,470.399
361.417,465.446
357.59,465.113
357.746,465.303
357.431,466.612
362.832,467.087
361.232,468.531
356.803,465.311
356.06,465.839
355.09,464.469
352.223,462.585
356.991,464.927
357.788,463.33
358.365,466.359
353.25,461.255
352.845,459.865
354.831,463.456
352.973,462.326
351.636,466.155
345.733,461.903
349.262,460.595
346.99,462.982
343.444,463.84
344.865,465.109
343.025,465.302
347.646,465.809
346.872,476.154
338.103,470.712
338.011,468.182
337.808,466.611
338.491,464.538
337.548,464.691
338.094,462.177
335.466,470.649
334.594,463.533
331.351,471.252
333.389,462.329
333.322,446.327
332.673,432.577
327.353,432.793
325.309,431.0
325.075,430.264
323.381,429.292
326.698,430.112
327.115,437.817
331.004,450.225
327.332,468.388
333.285,477.461
334.876,490.69
332.564,492.084
318.155,490.809
307.941,487.782
309.144,494.501
312.387,500.755
312.397,502.976
310.503,504.362
310.568,504.528
305.46,504.986
303.845,504.851
303.277,505.152
311.598,501.285
317.908,503.129
316.894,497.937
320.61,499.674
322.206,497.136
321.202,496.591
321.405,497.079
321.007,496.393
321.067,496.638
319.597,498.2
320.527,500.433
312.942,506.473
322.264,508.746
318.921,502.285
318.032,501.326
317.242,501.959
316.295,505.287
316.797,502.742
317.903,516.379
325.097,517.975
324.717,517.862
325.306,517.608
332.665,522.057
336.812,516.435
332.194,514.933
328.574,528.785
319.734,531.403
313.275,540.501
310.233,540.553
308.946,540.725
302.099,542.481
