x,y
156.072,131.083
157.757,126.182
163.852,119.253
172.152,121.022
174.311,123.152
172.939,126.915
166.935,125.84
165.742,121.609
166.723,117.283
164.741,116.082
162.394,115.606
160.316,114.92
159.187,114.333
159.211,114.267
162.224,115.347
165.123,116.077
166.777,116.328
162.589,119.258
159.902,121.636
158.753,122.451
158.556,122.935
157.87,123.572
157.931,123.627
157.714,123.742
157.362,124.084
157.687,123.867
157.373,124.033
157.273,124.173
157.076,124.374
157.179,124.376
157.234,124.418
157.138,124.551
156.681,125.008
156.592,125.066
156.581,125.149
156.494,125.23
156.424,125.309
156.314,125.351
156.318,125.297
156.276,125.325
156.3,125.273
156.328,125.292
156.344,125.274
156.342,125.284
156.356,125.307
156.484,125.238
156.417,125.22
156.398,125.235
156.285,125.207
156.175,125.31
156.274,125.231
156.086,125.25
156.084,125.248
155.955,125.326
155.922,125.361
155.891,125.276
156.041,125.161
155.94,125.21
155.931,125.282
156.033,125.155
155.896,125.25
155.906,125.232
155.981,125.271
155.978,125.306
155.935,125.425
155.876,125.495
155.816,125.5
155.759,125.511
155.756,125.578
155.642,125.668
155.705,125.626
155.72,125.6
155.653,125.621
155.672,125.665
155.677,125.64
155.685,125.665
155.627,125.677
155.573,125.717
155.572,125.741
155.573,125.753
155.543,125.776
155.459,125.749
155.353,125.805
155.31,125.773
155.325,125.813
155.38,125.723
155.338,125.769
155.348,125.75
155.327,125.732
155.392,125.779
155.391,125.718
155.383,125.762
155.325,125.757
155.346,125.842
155.354,125.819
155.277,125.838
155.394,125.834
155.373,125.809
155.33,125.853
155.382,125.819
155.337,125.839
155.435,125.754
155.437,125.788
155.383,125.812
155.346,125.82
155.378,125.799
155.398,125.754
155.366,125.781
155.339,125.764
155.371,125.988
155.368,125.976
155.342,126.065
155.211,126.067
155.217,126.097
155.236,126.127
155.187,126.146
155.235,126.094
155.171,126.097
155.186,126.046
155.098,126.14
155.142,126.093
155.156,126.108
155.173,126.02
155.099,126.152
155.061,126.1
155.152,126.084
155.208,125.964
155.113,126.044
155.077,126.039
155.061,126.108
155.002,126.12
155.034,126.034
155.009,126.067
155.17,126.032
155.12,126.088
155.049,126.137
155.012,126.167
155.013,126.122
155.055,126.088
155.084,126.009
155.014,126.029
154.989,126.024
155.058,125.95
155.144,125.882
155.09,125.948
155.102,125.961
155.093,125.959
155.041,125.957
155.009,125.917
154.962,126.001
155.073,125.856
154.971,125.929
155.001,125.922
154.985,125.989
155.598,125.624
155.836,125.454
156.529,124.983
157.202,124.533
159.616,122.261
161.842,112.524
160.84,106.853
152.206,117.367
154.274,120.187
160.312,118.952
161.438,113.718
161.534,111.97
161.484,120.763
162.282,122.523
162.819,122.339
162.94,122.347
163.071,122.09
163.327,121.694
163.204,121.821
163.369,121.184
163.488,120.629
163.122,119.345
162.701,119.131
162.367,118.911
160.535,119.227
153.821,123.377
152.702,125.039
153.579,125.577
156.738,124.144
154.927,118.106
155.483,109.807
162.037,99.055
165.764,89.474
157.817,85.971
156.544,90.443
157.21,92.131
159.109,92.238
153.432,83.326
152.692,86.571
