x,y
132.8,276.431
131.1,273.782
135.157,269.77
137.627,271.992
146.914,272.457
150.726,263.012
152.964,256.873
155.013,251.564
154.373,249.467
153.087,241.909
153.384,234.595
153.472,232.912
153.405,231.856
152.66,229.307
152.277,228.436
153.08,231.041
155.254,225.826
154.93,224.738
154.82,224.586
154.641,224.012
153.307,222.194
146.341,227.413
146.628,233.162
145.867,224.606
144.064,218.776
143.759,218.164
143.592,217.423
139.777,214.075
134.522,218.858
135.012,224.627
128.236,226.212
129.055,213.754
133.334,204.905
136.763,197.62
144.561,191.893
145.552,191.242
147.002,183.14
150.509,181.194
155.345,180.304
156.855,179.007
157.139,171.345
159.464,169.159
157.34,173.028
163.184,176.261
170.127,171.489
173.015,169.262
174.663,167.644
176.91,163.062
178.532,159.303
179.115,158.372
179.416,158.004
179.849,157.526
183.584,155.506
191.283,149.054
193.23,142.482
191.472,140.809
194.449,130.978
194.243,126.979
191.534,126.544
193.589,134.441
195.312,144.271
200.865,155.83
201.231,158.029
200.271,169.051
197.222,183.782
197.316,189.917
198.827,198.407
200.046,198.978
200.45,199.097
200.761,199.079
201.694,198.705
201.867,197.996
201.762,197.759
201.661,197.447
201.575,197.251
200.961,196.895
200.439,196.408
199.644,195.175
197.49,192.331
196.763,191.168
195.858,189.798
195.154,188.858
195.006,188.574
194.929,188.376
194.786,187.928
194.751,187.666
195.21,186.464
195.728,185.54
196.383,184.852
