x,y
188.198,78.103
197.122,75.594
202.79,66.402
202.206,63.174
196.181,66.386
195.193,71.834
195.251,79.356
201.052,70.828
209.681,63.232
209.544,62.611
209.15,62.357
209.336,62.319
211.394,61.726
211.732,59.166
211.404,57.682
210.553,56.631
210.27,57.13
209.465,57.996
209.359,58.168
209.777,58.095
209.393,58.441
209.32,58.638
209.192,58.732
209.464,59.089
209.162,58.981
206.454,58.074
203.381,57.335
202.882,56.886
202.559,56.932
202.702,57.717
196.061,61.07
191.015,58.527
190.658,57.915
190.729,58.297
190.478,57.996
190.616,57.971
192.859,49.78
198.549,50.592
193.855,59.597
195.287,61.39
189.411,73.532
191.499,87.776
197.037,103.121
210.379,104.592
211.828,102.829
206.711,102.677
203.499,112.2
205.424,112.149
205.868,111.805
205.77,111.272
212.404,114.049
212.888,118.473
211.595,119.193
199.889,119.892
198.938,119.938
199.235,116.674
203.567,104.561
205.605,102.839
200.816,99.124
198.156,98.753
207.317,102.93
207.952,95.691
207.307,94.561
207.181,93.564
