x,y
226.032,156.789
228.157,155.806
227.409,149.062
224.641,140.735
217.063,144.358
212.77,151.487
206.352,161.502
199.305,170.725
192.668,174.093
185.277,172.721
183.421,168.139
183.631,167.872
185.938,170.749
176.663,172.501
176.231,167.004
178.434,162.963
188.893,171.556
191.927,179.687
190.943,188.275
186.845,196.76
186.402,201.01
186.487,202.086
186.463,201.966
191.71,197.965
192.753,199.61
193.779,204.647
193.458,208.432
193.339,209.879
191.637,207.558
197.252,205.729
192.846,207.87
192.568,206.171
193.434,204.262
198.185,204.824
197.124,207.897
189.768,202.865
178.067,202.437
167.256,208.329
164.252,209.899
164.997,214.831
164.675,217.222
157.327,225.118
152.71,232.182
152.058,231.829
159.617,224.703
168.513,225.07
163.273,227.499
159.956,230.718
159.392,227.868
158.1,224.644
152.888,227.497
149.244,222.665
149.719,223.013
144.677,229.398
144.793,224.728
152.095,217.723
162.259,212.066
172.642,208.457
170.539,216.875
168.226,217.654
164.259,216.472
171.332,215.075
