x,y
151.324,32.088
150.707,39.222
141.588,43.941
131.372,49.845
120.742,57.787
110.871,64.477
98.924,71.121
93.443,75.937
92.037,79.24
91.979,83.022
92.247,85.947
92.696,87.362
94.411,92.953
95.503,96.658
92.221,102.115
88.372,101.846
86.353,104.541
85.945,109.481
85.887,114.847
85.461,122.277
82.437,131.03
80.037,138.894
75.326,152.738
72.421,166.795
66.83,175.423
60.89,178.877
59.21,175.714
58.918,173.378
60.75,166.675
62.958,164.649
64.437,165.594
64.253,170.369
61.922,176.892
63.899,181.779
66.054,183.328
66.937,183.472
67.727,183.64
67.835,184.345
68.508,184.375
69.945,183.996
70.52,183.622
71.42,182.835
73.858,180.331
77.031,174.99
76.996,174.819
76.699,174.893
75.372,175.522
73.626,176.846
71.65,178.687
69.107,181.837
68.582,183.173
68.307,183.912
68.495,184.078
68.758,184.667
68.766,185.028
68.995,185.57
69.174,185.839
69.544,186.065
69.916,186.342
70.439,186.376
73.638,184.52
77.505,181.446
77.59,184.436
74.327,189.398
76.026,190.391
72.876,188.383
73.194,188.804
71.972,188.748
71.441,187.903
71.127,187.826
71.026,187.045
71.352,185.015
73.683,179.49
72.897,179.621
73.704,178.717
73.301,178.745
74.516,179.041
