t,MSD
4.0,39.58599847619045
8.0,106.81043780645157
12.0,170.53020014754094
16.0,221.1533850333333
20.0,277.43722728813555
24.0,349.26365167241386
28.0,433.5119516842105
32.0,521.4938499642857
36.0,602.2755269454544
40.0,682.5996094259259
44.0,758.0476725471699
48.0,835.862947576923
52.0,913.8893324509804
56.0,1002.4606658799999
60.0,1089.6887253469386
64.0,1162.8189634374999
68.0,1221.8546840851066
72.0,1278.0669975217395
76.0,1337.9667768222223
80.0,1395.2064359999997
84.0,1452.2561531860467
88.0,1507.650875642857
92.0,1562.7620249268293
96.0,1609.2152747
100.0,1645.788495230769
104.0,1682.188866105263
108.0,1701.4576281891893
112.0,1715.366473611111
116.0,1746.6997766857144
120.0,1779.5563372647061
124.0,1811.1849872727275
128.0,1833.37819884375
