t,MSD
4.0,26.42570949822065
8.0,57.69662716071431
12.0,75.13554516129034
16.0,96.72717364388492
20.0,127.44890292418775
24.0,156.31842950000004
28.0,182.70408917818185
32.0,211.86372756934307
36.0,244.17204202197797
40.0,275.52070942647066
44.0,307.1025695571955
48.0,339.44835741481484
52.0,369.2157426505577
56.0,395.3018504291045
60.0,417.2952048052435
64.0,434.75002506015034
68.0,454.1352702641509
72.0,471.4801997272727
76.0,484.1620009657794
80.0,501.89651502671757
84.0,525.5319480191572
88.0,544.2284454576924
92.0,563.6042162084941
96.0,593.2344789651163
100.0,625.9172006108951
104.0,655.7556869609375
108.0,687.5694797411765
112.0,727.5280452165352
116.0,768.220923936759
120.0,806.4005277738096
124.0,848.4996338247014
128.0,895.5714812520002
132.0,944.3570192128514
136.0,992.2514060604839
140.0,1039.477620477733
144.0,1084.168514792683
148.0,1125.9615164897962
152.0,1167.424885372951
156.0,1206.1496524855968
160.0,1244.1404335371901
164.0,1277.6723283485478
168.0,1314.3318595499998
172.0,1354.1187781422593
176.0,1385.1451714537816
180.0,1410.8440432025322
184.0,1434.103305563559
188.0,1457.425320974468
192.0,1481.3303021367524
196.0,1504.7216711115882
200.0,1525.4527632241386
204.0,1550.0737708831173
208.0,1577.8885253956526
212.0,1607.1724246506549
216.0,1635.4127895394738
220.0,1659.9582928986783
224.0,1680.0413687920354
228.0,1697.379436831111
232.0,1716.4178607901788
236.0,1734.6936301838566
240.0,1756.0457093423424
244.0,1778.9686674072402
248.0,1801.661457822727
252.0,1819.143243027397
256.0,1830.9099906788988
260.0,1842.948636751152
264.0,1848.301445592593
268.0,1847.934718316279
272.0,1847.8976026775706
276.0,1852.4439140234742
280.0,1858.9160127641512
284.0,1866.7731993886257
288.0,1875.837569809524
292.0,1889.4369630765555
296.0,1902.1223929230773
300.0,1909.0853399758455
304.0,1911.0909985048545
308.0,1907.5685503170725
312.0,1905.0727387990194
316.0,1898.7629282413793
320.0,1891.088924158416
324.0,1890.6351242437813
328.0,1891.5665935050001
332.0,1894.0488540402007
336.0,1904.775121141414
340.0,1913.9357641573604
344.0,1917.2408256530614
348.0,1913.5034030051281
352.0,1905.4798447113405
356.0,1899.6859120362692
360.0,1892.441742880208
364.0,1884.9827042146592
368.0,1868.6511046578948
372.0,1847.8759953174601
376.0,1835.2940697340423
380.0,1816.234312085562
384.0,1795.1036126129031
388.0,1779.700624945946
392.0,1762.3501806956517
396.0,1741.6848118797811
400.0,1719.7884328681316
404.0,1711.0555174143649
408.0,1706.1295698333333
412.0,1690.663805011173
416.0,1675.0705872303372
420.0,1659.9692317118643
424.0,1648.8758133352278
428.0,1639.5822873600005
432.0,1631.7182739942525
436.0,1625.3643731387283
440.0,1628.0442388953495
444.0,1631.985584508772
448.0,1631.557784252941
452.0,1631.5017943550295
456.0,1629.6545124940483
460.0,1628.730644814371
464.0,1628.5439335361448
468.0,1624.2646955151513
472.0,1621.70626375
476.0,1622.751980957055
480.0,1621.061469771605
484.0,1610.85619036646
488.0,1604.8611466749999
492.0,1604.715050119497
496.0,1601.3976322974684
500.0,1600.6271404585991
504.0,1603.7987140576922
508.0,1602.3091890580645
512.0,1598.5523148961038
516.0,1601.5104418692813
520.0,1604.4093998157896
524.0,1607.9640661059602
528.0,1614.425480126667
532.0,1622.6356681275167
536.0,1624.891113060811
540.0,1624.461593802721
544.0,1619.6162223835618
548.0,1615.458387751724
552.0,1611.3993889305555
556.0,1604.8371416713285
560.0,1593.0485584859157
564.0,1590.1505569787237
