t,MSD
4.0,18.815036978947358
8.0,54.4065714787234
12.0,94.13397759139788
16.0,137.88237103260872
20.0,177.99718919780224
24.0,216.56270802222227
28.0,247.4824587191011
32.0,273.0546804204546
36.0,291.1193826896552
40.0,302.35469572093035
44.0,313.93153515294114
48.0,330.60799261904765
52.0,354.15831330120477
56.0,378.0199428414634
60.0,400.3970919012345
64.0,420.86357819999984
68.0,438.1048377468353
72.0,455.64400432051286
76.0,470.7232615454545
80.0,480.00426921052616
84.0,493.6093944133333
88.0,512.3136862027029
92.0,524.2689043698631
96.0,525.6352303055555
100.0,533.5732188028169
104.0,548.1348730714285
108.0,571.8488075217391
112.0,602.7429826911765
116.0,632.4332416268657
120.0,649.1236786666666
124.0,665.4300017384614
128.0,688.7020317968752
132.0,709.0540681428572
136.0,730.8714269516128
140.0,755.8570139016394
144.0,781.6429142499999
148.0,808.7790704406779
152.0,839.1097741206896
156.0,873.7894237719298
160.0,912.2883846071427
164.0,949.8497483999998
168.0,987.5943936666667
172.0,1024.61492854717
176.0,1061.5973375192307
180.0,1095.8967670784314
184.0,1127.3043600600001
188.0,1156.551105877551
192.0,1184.9152968125002
