t,MSD
4.0,23.748872877358473
8.0,64.96794636190472
12.0,100.15701606730765
16.0,126.65289297087374
20.0,146.09663557843135
24.0,164.71166309900988
28.0,187.60152266999995
32.0,214.82791944444446
36.0,244.97949768367351
40.0,270.95486010309276
44.0,292.84848992708334
48.0,309.5267827473684
52.0,329.08262163829784
56.0,352.67547080645164
60.0,381.5635594130435
64.0,413.31909992307686
68.0,443.4497580888888
72.0,468.7559170674157
76.0,493.8213937386363
80.0,519.1589834022989
84.0,544.4859813720931
88.0,574.6134467411765
92.0,606.7553582023809
96.0,646.4320202289157
100.0,682.9056659146341
104.0,708.6763693086419
108.0,739.9179291625
112.0,783.2194312658225
116.0,832.1126062051283
120.0,886.6493564025974
124.0,942.4715105921056
128.0,988.3770132933332
132.0,1028.3854930945945
136.0,1069.2981733835616
140.0,1110.550222416667
144.0,1153.7302191126762
148.0,1201.126035914286
152.0,1245.923122115942
156.0,1277.2395674705886
160.0,1295.0212213432837
164.0,1298.1871506818181
168.0,1309.099471815385
172.0,1322.968523375
176.0,1336.2903727619046
180.0,1347.751527903226
184.0,1361.1040483442623
188.0,1379.5728034166666
192.0,1402.7381721864413
196.0,1429.0446461034483
200.0,1456.126875982456
204.0,1484.603576892857
208.0,1513.8977936181811
212.0,1540.3937223703706
216.0,1563.2205862264152
