t,MSD
4.0,3.256737780000001
8.0,8.147885275167788
12.0,13.312627290540545
16.0,18.86735892517008
20.0,24.12598987671234
24.0,27.785454103448288
28.0,30.421898618055568
32.0,33.763540293706306
36.0,37.43824110563382
40.0,41.80231344680855
44.0,47.14115124285716
48.0,53.16561100719425
52.0,58.20717356521741
56.0,62.56552336496351
60.0,66.28030559558826
64.0,69.10625894074076
68.0,71.29105976865674
72.0,72.75473351879701
76.0,74.06498340909093
80.0,75.59022341984735
84.0,77.84284700769234
88.0,80.58074426356592
92.0,83.53823154687501
96.0,86.61668175590555
100.0,89.91066473809529
104.0,93.51987920800003
108.0,97.02194004838714
112.0,100.49949329268296
116.0,103.90429000819674
120.0,107.21954217355375
124.0,110.57901942500003
128.0,114.08481142016807
132.0,117.70451990677968
136.0,121.28116551282054
140.0,124.54817020689657
144.0,128.15199064347829
148.0,132.0560406140351
152.0,136.25633788495577
156.0,140.9306664732143
160.0,145.90678323423427
164.0,151.06968784545452
168.0,156.2124227247706
172.0,161.22193552777784
176.0,165.8318196635514
180.0,169.72883187735846
184.0,173.8658579142857
188.0,178.40673710576922
192.0,183.34452949514565
196.0,188.83337938235292
200.0,195.14642054455445
204.0,201.77704429999994
208.0,208.71571573737373
212.0,215.78103724489796
216.0,222.78874385567005
220.0,229.6609470624999
224.0,236.7713398
228.0,244.87253751063832
232.0,253.41713154838706
236.0,262.3401571630435
240.0,271.1252075824176
244.0,280.05863647777784
248.0,289.2490453820225
252.0,298.5422554204545
256.0,307.19294844827584
260.0,314.24830010465115
264.0,320.08222815294124
268.0,324.56301283333335
272.0,327.7614242650602
276.0,330.811783597561
280.0,335.338862382716
284.0,341.2873953750001
288.0,348.84499883544305
292.0,356.65372382051294
296.0,364.3720119090908
300.0,371.30948656578954
304.0,377.80477505333334
