t,MSD
4.0,33.71390203597122
8.0,90.16008827536233
12.0,141.27704929197083
16.0,191.35829627941177
20.0,238.222763962963
24.0,278.43161514179104
28.0,321.8652309248121
32.0,372.4175350606061
36.0,422.94683350381683
40.0,478.45109743846155
44.0,528.7831036124032
48.0,564.0564715390625
52.0,588.8720605826772
56.0,610.5016805952381
60.0,631.746072632
64.0,658.2428765725807
68.0,683.5886103252034
72.0,706.6517804590164
76.0,732.5669690743802
80.0,763.3943514416666
84.0,790.1768118235295
88.0,812.740588923729
92.0,839.7216395811967
96.0,871.8272240689655
100.0,908.6607056173914
104.0,951.1651631842105
108.0,999.5553209823009
112.0,1049.1110627857142
116.0,1097.751279
120.0,1138.157516109091
124.0,1176.1410951284406
128.0,1219.811594361111
132.0,1264.6153394766357
136.0,1301.0828023207548
140.0,1327.0662518190477
144.0,1338.6787053269231
148.0,1335.3775992330097
152.0,1332.391904666667
156.0,1329.9944955445544
160.0,1335.19343595
164.0,1353.3187755151514
168.0,1381.7094046428574
172.0,1406.4868618247424
176.0,1419.3884815104168
180.0,1427.4319650105263
184.0,1428.4324754893617
188.0,1421.4706340322584
192.0,1401.8041115543479
196.0,1381.7819589890107
200.0,1372.0371745333332
204.0,1364.3877508651685
208.0,1364.3429910113637
212.0,1365.3781037126437
216.0,1362.166857232558
220.0,1360.5216123647058
224.0,1362.290744952381
228.0,1363.1895250481928
232.0,1348.520290597561
236.0,1336.2382071358024
240.0,1335.0902103125
244.0,1338.0058443291136
248.0,1344.2296974615383
252.0,1354.095246012987
256.0,1365.5639881710524
260.0,1381.2099911600003
264.0,1400.6304433513515
268.0,1420.150908328767
272.0,1439.049189652778
276.0,1459.994830126761
280.0,1482.0877456714286
