t,MSD
4.0,20.996111009009002
8.0,49.089657181818154
12.0,72.18153171559632
16.0,97.02517619444446
20.0,121.56300819626169
24.0,138.7670840566038
28.0,149.70852704761904
32.0,161.76544952884615
36.0,171.96129376699028
40.0,176.98091802941178
44.0,182.51952754455442
48.0,189.40711591999997
52.0,193.1615738181818
56.0,189.89840778571426
60.0,185.5532898659794
64.0,187.99055699999997
68.0,189.13324912631577
72.0,183.40161113829785
76.0,179.87171108602152
80.0,181.61093095652177
84.0,176.62641724175825
88.0,170.3424416
92.0,170.5407266404494
96.0,172.44206068181822
100.0,173.37905587356323
104.0,179.63281994186048
108.0,192.72329931764708
112.0,204.6121355833334
116.0,218.9593910722892
120.0,232.5703999878049
124.0,243.52389771604948
128.0,250.46017301249998
132.0,256.673261556962
136.0,265.32008378205137
140.0,273.08715057142865
144.0,280.0428958421054
148.0,286.1508018133335
152.0,291.8896736486486
156.0,298.8653106575343
160.0,306.6852081805557
164.0,315.20726809859156
168.0,326.3539305142858
172.0,339.2340477391305
176.0,349.9694994264706
180.0,360.27363847761205
184.0,370.64335465151527
188.0,379.4058717384616
192.0,385.05520371875
196.0,389.03513463492067
200.0,394.1978019838711
204.0,400.26506904918034
208.0,407.0715576333334
212.0,413.45424
216.0,420.1934915344829
220.0,428.4540907543861
224.0,437.91712891071444
