t,MSD
4.0,21.26166756565657
8.0,60.43127407142858
12.0,100.67529505154643
16.0,150.974784125
20.0,209.9050482526316
24.0,269.0496483723405
28.0,331.0347275913979
32.0,399.1004724021739
36.0,467.7081022637364
40.0,535.4509285333332
44.0,605.4673991235957
48.0,679.4810698409092
52.0,755.9183735632183
56.0,829.9729716279072
60.0,902.7647181529411
64.0,977.815616702381
68.0,1056.9783412530119
72.0,1141.1164933658536
76.0,1228.7249457901237
80.0,1317.2821898375
84.0,1402.2108778481015
88.0,1480.0514344615385
92.0,1548.7356242597402
96.0,1600.2883133157895
100.0,1645.4161947733332
104.0,1699.3912919054053
108.0,1761.23864639726
112.0,1812.2942819027774
116.0,1854.1688675633804
120.0,1900.2889993
124.0,1937.0175904492755
128.0,1966.4217509264708
132.0,1996.1131488955223
136.0,2027.1544923939396
140.0,2058.276740507692
144.0,2090.2696257187495
148.0,2123.528477079365
152.0,2158.165233790323
156.0,2193.235381245902
160.0,2229.626910583332
164.0,2267.401942949152
168.0,2305.861449810345
172.0,2345.8208868245615
176.0,2387.4641533928566
180.0,2430.9292733272728
184.0,2476.1509299259255
188.0,2523.9986076226414
192.0,2573.952035519231
196.0,2625.0599221568623
200.0,2678.80262182
