t,MSD
4.0,20.53864779148935
8.0,54.65240833760684
12.0,94.62312545064377
16.0,138.29618323706896
20.0,184.03155503896102
24.0,230.74467813043475
28.0,279.1341756069869
32.0,328.8880489385965
36.0,383.04591833039643
40.0,440.01838751769907
44.0,498.2532597022221
48.0,562.8747428660713
52.0,631.9486816681616
56.0,703.6044883378378
60.0,776.6693329864254
64.0,848.9656769454546
68.0,921.0860250593607
72.0,993.7458105779815
76.0,1066.7911611382488
80.0,1135.4134927824073
84.0,1204.9255359023252
88.0,1277.4856387803736
92.0,1353.7878246478874
96.0,1431.3801853443395
100.0,1507.9117429289097
104.0,1583.9647121380951
108.0,1658.8120419043066
112.0,1731.8941309951917
116.0,1804.8185587729467
120.0,1878.7809331650492
124.0,1953.946214185366
128.0,2030.675531906863
132.0,2109.074477463054
136.0,2189.278733381188
140.0,2268.9676099751246
144.0,2352.27785867
148.0,2436.5374147185926
152.0,2515.058934843434
156.0,2593.169777370558
160.0,2670.262221484694
164.0,2741.128536846153
168.0,2813.6525062474234
172.0,2887.4509366994835
176.0,2963.159089322917
180.0,3041.060402528796
184.0,3116.3830840315804
188.0,3188.848500312169
192.0,3263.3451554627663
196.0,3341.8376457860954
200.0,3418.923887290323
204.0,3496.5270365621623
208.0,3583.37053039674
212.0,3675.9700331639337
216.0,3772.3498635274727
220.0,3875.8462464806626
224.0,3984.577165416667
228.0,4099.611924385475
232.0,4218.434900719101
236.0,4340.047570282485
240.0,4470.829607738637
244.0,4607.345795874286
248.0,4748.972739436781
252.0,4900.724113225432
256.0,5060.777917691861
260.0,5227.982716070176
264.0,5402.16294842353
268.0,5583.346364609467
272.0,5771.781931523809
276.0,5965.890535610778
280.0,6164.844034644579
284.0,6368.579960587879
288.0,6574.508070256098
292.0,6784.600035969325
296.0,7004.247925518517
300.0,7231.5430722857145
304.0,7465.124147750001
308.0,7705.983791251578
312.0,7949.746262379746
316.0,8195.572255910829
320.0,8441.848045474362
324.0,8683.325474954838
328.0,8924.168299181822
332.0,9162.841616392156
336.0,9400.572320921052
340.0,9638.440032456954
344.0,9873.394085306669
348.0,10105.970019208053
352.0,10337.819277756758
356.0,10567.394372972789
360.0,10795.704021589041
364.0,11022.527204351725
368.0,11249.362528305555
372.0,11482.267945244757
376.0,11722.517551415493
380.0,11961.705407978721
384.0,12204.011560235711
388.0,12444.893394978417
392.0,12674.621165702898
396.0,12899.43168691241
400.0,13101.07934922794
404.0,13285.912259118515
408.0,13463.484969507463
412.0,13634.153778308271
416.0,13802.93407403788
420.0,13968.448396603055
424.0,14129.257434484616
428.0,14277.156593077518
432.0,14421.853363718748
436.0,14562.916256929133
440.0,14705.02019061111
444.0,14857.597847688003
448.0,15016.655190395159
452.0,15168.307949707316
456.0,15323.921486549183
460.0,15482.319942305787
464.0,15636.456060350001
468.0,15816.540844352943
472.0,16000.67398368644
