t,MSD
4.0,54.018053033707865
8.0,150.5342062272727
12.0,262.1768166666667
16.0,382.07874898837207
20.0,518.5286991647059
24.0,659.3639924285714
28.0,820.5579431807229
32.0,1008.5586179512194
36.0,1215.181490790123
40.0,1445.376837375
44.0,1691.717404696203
48.0,1946.7208233717945
52.0,2197.80689177922
56.0,2445.631459355263
60.0,2673.17347476
64.0,2891.3760770810813
68.0,3095.6089687397257
72.0,3323.6232044305552
76.0,3562.275764915493
80.0,3803.8338633428575
84.0,4015.2592426521746
88.0,4222.977446720588
92.0,4405.918733865672
96.0,4568.970278181819
100.0,4714.877326999999
104.0,4849.144430453125
108.0,5008.950389587303
112.0,5169.647136693549
116.0,5284.045003114754
120.0,5362.2469862
124.0,5378.619059762711
128.0,5316.020844034481
132.0,5283.654314421053
136.0,5267.189489160714
140.0,5241.178554890908
144.0,5261.6109349814815
148.0,5325.2291885471695
152.0,5386.278525038462
156.0,5444.524938411764
160.0,5563.01410378
164.0,5744.805177102041
168.0,5934.705100541666
172.0,6136.969010723405
176.0,6366.418210608697
180.0,6609.497483977778
