t,MSD
4.0,12.635860786407768
8.0,20.111336243902443
12.0,27.41890507352941
16.0,36.27527534975369
20.0,39.969275633663365
24.0,45.72829392537314
28.0,46.20391495000002
32.0,47.969751105527656
36.0,45.43328485858587
40.0,46.04417662436549
44.0,50.3961814489796
48.0,55.77768914871795
52.0,59.50627003092784
56.0,63.85373137823834
60.0,69.722705640625
64.0,73.58239822513089
68.0,77.55567749473684
72.0,76.94828088888889
76.0,78.50805283510637
80.0,80.66788950802139
84.0,84.03700432795698
88.0,86.51749154594592
92.0,89.89128560869564
96.0,94.58475788524586
100.0,100.12113342307694
104.0,107.8720339447514
108.0,110.1827782222222
112.0,113.53533316759776
116.0,115.52468436516855
120.0,115.87867028248587
124.0,119.5172272443182
128.0,123.18356152
132.0,127.33032038505748
136.0,132.50380483815027
140.0,138.3366536046511
144.0,141.78625714035087
148.0,146.60112427647059
152.0,152.64153884615385
156.0,157.13040127380953
160.0,162.75711665868263
164.0,169.53545568674699
168.0,177.29798367272724
172.0,182.83484718902437
176.0,190.87545846625764
180.0,198.78605764814813
184.0,204.11594196273293
188.0,210.56814493125012
192.0,217.8141252955974
196.0,223.50864331645565
200.0,229.0618688853502
204.0,234.66064642948717
208.0,237.67226489032257
212.0,239.50516234415588
216.0,240.315527633987
220.0,241.7745866907894
224.0,243.64753296026487
228.0,245.38654287333338
232.0,247.19175548322147
236.0,249.27699555405405
240.0,251.98781200000005
244.0,254.51101484246576
248.0,257.14211159310344
252.0,259.6341010208333
256.0,262.1911064895105
260.0,264.5058724295775
264.0,266.5509315531915
268.0,268.29220492857144
272.0,270.08723170503606
276.0,272.0903423985507
280.0,274.4306296715328
284.0,277.5587043382353
288.0,280.5484568666666
292.0,283.9177135671641
296.0,287.35161146616537
300.0,290.46461806818184
304.0,293.3578435877862
308.0,296.12134856923075
312.0,298.54242020155044
316.0,300.7872167343751
320.0,303.1031221338582
324.0,304.86921323809514
328.0,306.993116552
332.0,308.8429258951613
336.0,310.8111244308943
340.0,313.1470257459017
344.0,315.53110552892565
348.0,318.7320491416666
352.0,321.8427159159664
356.0,324.8811041864407
360.0,328.00552757264956
364.0,331.438030112069
368.0,334.9916854086957
372.0,338.4315124473684
376.0,341.7359108849559
380.0,345.5651812142859
384.0,349.4653075855856
388.0,352.56821748181807
392.0,355.30665940366964
396.0,357.416210574074
400.0,359.09045660747665
404.0,360.32437933018866
408.0,361.7772575142856
412.0,362.931718173077
416.0,364.6438586213593
