t,MSD
4.0,9.009566098360652
8.0,31.83245080219779
12.0,66.51323422099446
16.0,111.87473893333333
20.0,166.35571082122902
24.0,228.85639688764041
28.0,299.18773171186444
32.0,376.7421060625
36.0,461.01083452000006
40.0,552.3131083103448
44.0,649.6907379595377
48.0,750.9409024418604
52.0,853.7651662573098
56.0,960.5814633529412
60.0,1069.6351809467455
64.0,1176.7555521666666
68.0,1284.6295553293414
72.0,1394.2706795301206
76.0,1505.2273725333332
80.0,1619.9763729268293
84.0,1737.1360220736196
88.0,1859.431666419753
92.0,1986.8169198944106
96.0,2118.8597497875007
100.0,2251.864020672956
104.0,2387.3458477215186
108.0,2527.2035802165606
112.0,2669.489238391026
116.0,2816.609377116129
120.0,2967.3471100909082
124.0,3119.772193849673
128.0,3273.5026036249997
132.0,3424.037400523179
136.0,3569.303327766667
140.0,3712.2330475503354
144.0,3851.4840473581075
148.0,3981.9194784761908
152.0,4107.559397636986
156.0,4228.469270668966
160.0,4347.342709576387
164.0,4462.871119174824
168.0,4572.485730295775
172.0,4680.368060716311
176.0,4785.184079249999
180.0,4889.951792474821
184.0,4990.812243594201
188.0,5089.379409087592
192.0,5189.120003499999
196.0,5291.203104133334
200.0,5396.704897186569
204.0,5504.198844451128
208.0,5615.3425180075765
212.0,5730.390585633588
216.0,5846.241286230769
220.0,5966.585321573642
224.0,6094.28014446094
228.0,6228.993577692913
232.0,6369.317508746033
236.0,6510.754745351999
240.0,6656.468434903226
244.0,6799.120792308943
248.0,6945.269559590163
252.0,7090.480305049586
256.0,7236.635030283333
260.0,7379.938733092437
264.0,7523.666605288136
268.0,7667.020050042735
272.0,7804.344106129311
276.0,7939.657456295653
280.0,8071.947878552632
284.0,8199.133468796459
288.0,8316.708894455358
292.0,8428.001607783784
296.0,8536.336054681815
300.0,8641.71992178899
304.0,8745.496713074077
308.0,8829.621430121495
312.0,8906.900210716982
316.0,8973.474071571427
320.0,9028.011282125
324.0,9071.69809816505
328.0,9111.65292277451
332.0,9145.389459188118
336.0,9174.900805050002
340.0,9194.66379549495
344.0,9203.496490459185
348.0,9200.54133346392
352.0,9189.157201593749
356.0,9177.630493736842
360.0,9158.01078861702
364.0,9129.118775053763
368.0,9097.171023684781
