t,MSD
4.0,15.214957741758239
8.0,46.43064280110498
12.0,83.51740813333335
16.0,127.30295359776537
20.0,178.39049751685397
24.0,236.1199843446327
28.0,299.6745752159091
32.0,367.3740759600001
36.0,438.14052526436785
40.0,512.1905737514453
44.0,589.5800691162791
48.0,669.2213865204677
52.0,748.6934572235295
56.0,825.480927615385
60.0,899.4839468809524
64.0,970.2794176646707
68.0,1037.8183220481928
72.0,1103.4782118424243
76.0,1168.614006152439
80.0,1233.3319479754603
84.0,1298.0778169444447
88.0,1363.2937262857145
92.0,1426.73829828125
96.0,1487.8910913207544
100.0,1548.5750597405065
104.0,1610.7232105222931
108.0,1674.3131911923076
112.0,1740.180352432258
116.0,1809.258667012987
120.0,1879.5186286993467
124.0,1948.7026124605266
128.0,2018.2863028543043
132.0,2088.290405926667
136.0,2154.3136003489935
140.0,2212.987468945946
144.0,2266.1969282925174
148.0,2313.9822814178083
152.0,2356.6715662965516
156.0,2391.9101208194443
160.0,2422.8120426853147
164.0,2451.9084287605633
168.0,2480.0542912269507
172.0,2500.750822778571
176.0,2511.8885670719433
180.0,2515.4018631521735
184.0,2513.2555126204375
188.0,2508.227681830883
192.0,2506.1427601481478
196.0,2506.316538619403
200.0,2508.1555531804506
204.0,2513.847272318182
208.0,2519.2585142595426
212.0,2525.8682060461542
216.0,2538.33396996124
220.0,2557.0391746484374
224.0,2582.54080015748
228.0,2615.213035761905
232.0,2657.116909152001
236.0,2709.6905873548394
240.0,2768.4456510731707
244.0,2829.8880738196717
248.0,2898.3210961322316
252.0,2975.451202658334
256.0,3058.631028789917
260.0,3147.95359068644
264.0,3245.6775785897444
268.0,3350.394322275862
272.0,3461.8559588000003
276.0,3579.2110294473687
280.0,3700.5237593185843
284.0,3824.292638607142
288.0,3951.2751665945943
292.0,4083.347493281818
296.0,4220.565835302752
300.0,4363.093209787037
304.0,4510.319709682243
308.0,4660.6283685283015
312.0,4811.976123380952
316.0,4963.6209364423075
320.0,5116.924025631068
324.0,5273.062856215684
328.0,5420.558827930694
332.0,5561.250512369999
336.0,5704.137794777778
340.0,5845.0202258571435
344.0,5971.341700144329
348.0,6098.763270104168
352.0,6217.65858628421
356.0,6303.886907638298
360.0,6377.984432634408
364.0,6449.231639858696
368.0,6508.005440868132
