t,MSD
4.0,31.724941022727283
8.0,98.3134386896552
12.0,185.58778901162793
16.0,292.8527885529412
20.0,415.75517888095237
24.0,545.4438268313253
28.0,678.7015751463415
32.0,818.500152777778
36.0,966.4778078125
40.0,1118.825021822785
44.0,1263.8867209230768
48.0,1403.6390207402599
52.0,1540.7619370394734
56.0,1679.3395148799998
60.0,1821.5323566351349
64.0,1969.850836876712
68.0,2112.791992236111
72.0,2258.7886618591547
76.0,2411.4776665285713
80.0,2560.7936208985507
84.0,2711.9356680294118
88.0,2888.1603236716423
92.0,3088.696737363636
96.0,3285.04993516923
100.0,3477.6802280625
104.0,3670.4769742380954
108.0,3856.320934774193
112.0,4037.734644114754
116.0,4214.257026099999
120.0,4390.034025
124.0,4561.5513983620685
128.0,4720.112117824561
132.0,4865.8100005
136.0,5009.511484763637
140.0,5145.955413444443
144.0,5297.480546207547
148.0,5433.075452942308
152.0,5567.018650686273
156.0,5706.0498403599995
160.0,5854.1125129591865
164.0,5979.1239392083335
168.0,6101.0489356383
172.0,6259.375370565217
176.0,6440.051001111114
