t,MSD
4.0,59.44091410869563
8.0,177.79180857777777
12.0,332.64110099999994
16.0,531.6811012558138
20.0,733.8124791666663
24.0,935.531354780488
28.0,1144.8873392749997
32.0,1362.8245957435895
36.0,1583.9836772894732
40.0,1784.737428162162
44.0,1962.9926454999998
48.0,2148.2797578285713
52.0,2321.154867176471
56.0,2472.545678666667
60.0,2624.3620775624995
64.0,2772.111409967741
68.0,2927.7271885666664
72.0,3073.552873413793
76.0,3213.9799209999987
80.0,3356.8554398518518
84.0,3491.136197653846
88.0,3611.7445285199997
92.0,3718.1308632083333
96.0,3806.409918565217
