t,MSD
4.0,13.00168672727273
8.0,30.74976281578947
12.0,46.42145045333332
16.0,65.40515604054052
20.0,83.6228951917808
24.0,106.08871980555551
28.0,127.62240021126756
32.0,145.92281555714285
36.0,166.4909795797101
40.0,186.63552141176467
44.0,208.19178729850745
48.0,228.96389128787877
52.0,249.48530238461535
56.0,275.2448286406249
60.0,302.91616263492057
64.0,331.5827623709677
68.0,361.168231557377
72.0,390.2649723166667
76.0,416.67671211864393
80.0,438.6555484655172
84.0,462.7021115789472
88.0,490.7692116785714
92.0,521.3514170181818
96.0,550.9803238333333
100.0,579.2186878301886
104.0,612.0262041538462
108.0,648.6689233725489
112.0,689.0802426399999
116.0,729.484236795918
120.0,764.2268885624999
124.0,796.4042403404255
128.0,827.9484623260869
132.0,857.5260732222222
136.0,886.0291440227276
140.0,919.2697554651166
144.0,947.7777999523806
148.0,978.8894884146341
152.0,1016.3831114499999
156.0,1060.121041435897
