t,MSD
4.0,47.96470111737089
8.0,150.4627010424528
12.0,286.1836590853081
16.0,442.65294545238095
20.0,614.3686874976075
24.0,798.268259966346
28.0,986.7849817246376
32.0,1174.5211749951454
36.0,1357.6660336146338
40.0,1534.8298679607847
44.0,1711.9767151083743
48.0,1889.503263608911
52.0,2064.8504557810948
56.0,2232.833925555
60.0,2390.890539361809
64.0,2543.207082944444
68.0,2692.2190919847712
72.0,2842.491522229592
76.0,2993.6892366512816
80.0,3147.8700066237116
84.0,3310.5583984093273
88.0,3475.4175203229156
92.0,3638.527129036649
96.0,3798.9660526842094
100.0,3956.7946617142866
104.0,4114.022794074469
108.0,4273.850100165775
112.0,4430.002201607527
116.0,4582.204472810812
120.0,4727.713278353262
124.0,4870.915515327868
128.0,5015.794606873626
132.0,5165.981001602209
136.0,5323.909499427778
140.0,5489.359134117319
144.0,5666.152100117978
148.0,5852.729766632769
152.0,6049.310469943183
156.0,6249.477205337143
160.0,6453.323705408047
164.0,6652.95361981503
168.0,6845.938205994185
172.0,7029.1175473333315
176.0,7208.352800529412
180.0,7381.470480023669
184.0,7547.274597404762
188.0,7705.575693658681
192.0,7851.351689879519
196.0,7980.708048939393
200.0,8099.916708896341
204.0,8214.445215239264
208.0,8316.86804265432
212.0,8396.327301608697
216.0,8465.6509869125
220.0,8525.265008748429
224.0,8575.743753696202
228.0,8614.6830513121
232.0,8656.930644487178
236.0,8696.998246045163
240.0,8732.697923577922
244.0,8768.085176732024
248.0,8804.632574730265
252.0,8845.824540695363
256.0,8894.264012266665
260.0,8949.301781053693
264.0,9013.591728682433
268.0,9094.344140857143
272.0,9189.584153513699
276.0,9283.876918572414
280.0,9377.71881726389
284.0,9470.374477545458
288.0,9563.932495077464
292.0,9652.273486297872
296.0,9740.685125992857
300.0,9796.89325877698
304.0,9835.412581289853
308.0,9861.607228357663
312.0,9880.431205764708
316.0,9884.758895362964
320.0,9869.971126
324.0,9841.26389581203
328.0,9794.978390386364
332.0,9710.259637229006
336.0,9608.101322961538
340.0,9485.743955984499
344.0,9342.737949500002
348.0,9174.012805874012
352.0,8997.658617063493
356.0,8809.400125224
360.0,8622.040580975805
364.0,8439.75341386992
368.0,8268.956446065575
372.0,8122.91225716529
376.0,8017.0604607
380.0,7930.610289781512
384.0,7844.236798838983
388.0,7770.136550324785
392.0,7712.0801716637925
396.0,7659.272774904348
400.0,7597.05477845614
404.0,7518.799610115046
408.0,7411.361565741073
412.0,7301.455396234233
416.0,7202.834550327271
420.0,7126.751581284403
424.0,7054.308381712963
428.0,6983.075129626169
