x,y
167.085,11.643
165.715,12.811
164.536,14.122
163.75,15.542
163.155,16.138
162.023,18.551
156.934,24.558
157.268,29.067
163.652,29.84
166.146,33.262
162.776,34.629
167.474,31.112
169.609,37.837
171.024,40.012
171.851,40.749
176.748,36.589
176.813,33.941
175.617,36.949
181.669,34.824
179.345,31.762
173.678,27.799
175.242,32.075
179.425,29.034
174.614,27.259
172.818,34.511
166.418,40.549
161.539,44.577
155.863,48.852
153.794,49.388
156.075,44.595
159.793,38.747
164.72,36.584
169.111,38.439
169.529,41.128
168.763,37.602
173.331,36.342
176.675,39.385
169.352,40.901
171.93,37.481
175.675,36.934
170.962,41.989
169.678,40.602
174.541,36.73
174.089,42.0
172.11,42.239
170.075,41.269
172.567,38.075
174.594,36.627
177.502,36.904
181.419,37.993
176.755,42.023
179.737,46.023
184.782,40.811
184.697,39.012
179.766,44.499
173.339,41.256
179.472,40.384
179.85,45.467
177.546,47.92
174.785,46.086
176.022,43.805
184.833,38.758
188.54,30.821
195.73,32.825
204.011,31.922
208.105,29.782
204.477,34.852
200.981,43.939
199.648,46.748
204.731,49.956
204.604,44.671
197.623,41.841
193.87,44.692
199.266,44.206
200.526,38.833
201.206,36.292
206.99,36.565
205.233,34.52
202.139,42.283
204.916,43.83
200.417,40.411
198.072,50.751
205.731,57.453
206.583,51.277
202.161,51.917
207.653,55.881
209.479,50.248
205.761,55.288
211.0,54.775
211.923,54.404
212.356,53.715
212.35,52.68
211.067,51.52
209.337,51.686
208.16,53.169
208.977,52.131
208.833,52.308
207.986,54.911
208.313,56.042
209.614,53.825
