"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"58","4","1",39.623,215.841,0.633,"20180206","non-invader","20180206-4-1-non-invader",0.486000000000004,2.446,"2"
"59","4","1",35.85,215.641,0.959,"20180206","non-invader","20180206-4-1-non-invader",3.773,0.200000000000017,"2"
"60","4","1",35.659,214.24,0.359,"20180206","non-invader","20180206-4-1-non-invader",0.191000000000003,1.40099999999998,"2"
"61","4","1",37.268,212.126,0.674,"20180206","non-invader","20180206-4-1-non-invader",1.609,2.114,"2"
"62","4","1",37.81,212.283,0.143,"20180206","non-invader","20180206-4-1-non-invader",0.542000000000002,0.156999999999982,"2"
"63","4","1",38.92,208.146,1.087,"20180206","non-invader","20180206-4-1-non-invader",1.11,4.137,"2"
"64","4","1",39.577,208.151,0.167,"20180206","non-invader","20180206-4-1-non-invader",0.656999999999996,0.00500000000002387,"2"
"65","4","1",42.86,211.002,1.104,"20180206","non-invader","20180206-4-1-non-invader",3.283,2.851,"2"
"66","4","1",46.089,212.029,0.86,"20180206","non-invader","20180206-4-1-non-invader",3.229,1.02699999999999,"2"
"67","4","1",46.398,216.67,1.18,"20180206","non-invader","20180206-4-1-non-invader",0.309000000000005,4.64099999999999,"2"
"68","4","1",40.466,219.937,1.719,"20180206","non-invader","20180206-4-1-non-invader",5.932,3.26700000000002,"2"
"69","4","1",36.185,220.143,1.088,"20180206","non-invader","20180206-4-1-non-invader",4.281,0.205999999999989,"2"
"70","4","1",36.998,216.409,0.97,"20180206","non-invader","20180206-4-1-non-invader",0.812999999999995,3.73400000000001,"2"
"71","4","1",40.168,224.568,2.222,"20180206","non-invader","20180206-4-1-non-invader",3.17,8.15900000000002,"2"
"72","4","1",38.004,228.959,1.243,"20180206","non-invader","20180206-4-1-non-invader",2.164,4.39099999999999,"1"
"73","4","1",37.949,229.402,0.113,"20180206","non-invader","20180206-4-1-non-invader",0.0549999999999997,0.442999999999984,"1"
"74","4","1",36.886,230.413,0.372,"20180206","non-invader","20180206-4-1-non-invader",1.063,1.01100000000002,"1"
"76","4","1",36.537,231.588,0.257,"20180206","non-invader","20180206-4-1-non-invader",0.344999999999999,0.950999999999993,"2"
"78","4","1",34.05,237.395,1.574,"20180206","non-invader","20180206-4-1-non-invader",2.64700000000001,5.60900000000001,"2"
"79","4","1",28.309,243.161,2.065,"20180206","non-invader","20180206-4-1-non-invader",5.741,5.76599999999999,"2"
"80","4","1",23.815,247.227,1.538,"20180206","non-invader","20180206-4-1-non-invader",4.494,4.066,"2"
"82","4","3",240.137,29.078,2.555,"20180206","non-invader","20180206-4-3-non-invader",7.93000000000001,6.199,"2"
"83","4","3",236.122,38.174,2.523,"20180206","non-invader","20180206-4-3-non-invader",4.01499999999999,9.096,"2"
"84","4","3",225.846,36.788,2.632,"20180206","non-invader","20180206-4-3-non-invader",10.276,1.386,"2"
"85","4","3",230.575,27.795,2.579,"20180206","non-invader","20180206-4-3-non-invader",4.72899999999998,8.99299999999999,"2"
"86","4","3",235.692,32.428,1.752,"20180206","non-invader","20180206-4-3-non-invader",5.11700000000002,4.633,"2"
"87","4","3",227.434,41.93,3.195,"20180206","non-invader","20180206-4-3-non-invader",8.25800000000001,9.502,"2"
"88","4","3",219.007,49.002,2.792,"20180206","non-invader","20180206-4-3-non-invader",8.42699999999999,7.072,"2"
"89","4","3",210.659,62.723,4.076,"20180206","non-invader","20180206-4-3-non-invader",8.34800000000001,13.721,"2"
"90","4","3",211.571,71.05,2.126,"20180206","non-invader","20180206-4-3-non-invader",0.912000000000006,8.327,"2"
"91","4","3",216.87,73.735,1.508,"20180206","non-invader","20180206-4-3-non-invader",5.29900000000001,2.685,"2"
"92","4","3",219.426,76.021,0.87,"20180206","non-invader","20180206-4-3-non-invader",2.55599999999998,2.286,"2"
"93","4","3",216.394,85.341,2.488,"20180206","non-invader","20180206-4-3-non-invader",3.03199999999998,9.31999999999999,"2"
"94","4","3",213.714,86.882,0.785,"20180206","non-invader","20180206-4-3-non-invader",2.68000000000001,1.54100000000001,"2"
"95","4","3",212.789,77.441,2.408,"20180206","non-invader","20180206-4-3-non-invader",0.925000000000011,9.441,"2"
"96","4","3",217.278,68.017,2.649,"20180206","non-invader","20180206-4-3-non-invader",4.489,9.42400000000001,"2"
"97","4","3",215.659,60.361,1.986,"20180206","non-invader","20180206-4-3-non-invader",1.619,7.656,"2"
"98","4","3",213.973,57.536,0.835,"20180206","non-invader","20180206-4-3-non-invader",1.68599999999998,2.825,"2"
"99","4","3",211.653,48.833,2.286,"20180206","non-invader","20180206-4-3-non-invader",2.32000000000002,8.703,"2"
"100","4","3",209.507,46.653,0.776,"20180206","non-invader","20180206-4-3-non-invader",2.14599999999999,2.18,"2"
"101","4","3",210.978,60.075,3.427,"20180206","non-invader","20180206-4-3-non-invader",1.471,13.422,"2"
"102","4","3",209.424,69.771,2.492,"20180206","non-invader","20180206-4-3-non-invader",1.554,9.696,"2"
