"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"86","1","2",136.16,160.639,2.157,"20180206","invader","20180206-1-2-invader",8.49299999999999,0.308999999999997,"2"
"87","1","2",135.75,164.363,0.951,"20180206","invader","20180206-1-2-invader",0.409999999999997,3.72399999999999,"2"
"88","1","2",129.337,164.891,1.633,"20180206","invader","20180206-1-2-invader",6.41300000000001,0.527999999999992,"2"
"89","1","2",122.307,163.243,1.833,"20180206","invader","20180206-1-2-invader",7.02999999999999,1.648,"2"
"90","1","2",120.245,163.341,0.524,"20180206","invader","20180206-1-2-invader",2.062,0.0980000000000132,"2"
"91","1","2",112.414,163.206,1.988,"20180206","invader","20180206-1-2-invader",7.831,0.135000000000019,"1"
"92","1","2",111.732,163.041,0.178,"20180206","invader","20180206-1-2-invader",0.682000000000002,0.164999999999992,"1"
"93","1","2",110.888,162.959,0.215,"20180206","invader","20180206-1-2-invader",0.843999999999994,0.0819999999999936,"1"
"94","1","2",108.771,163.977,0.596,"20180206","invader","20180206-1-2-invader",2.117,1.018,"2"
"95","1","2",105.669,172.89,2.395,"20180206","invader","20180206-1-2-invader",3.102,8.91299999999998,"2"
"96","1","2",111.668,175.845,1.697,"20180206","invader","20180206-1-2-invader",5.99900000000001,2.95500000000001,"2"
"97","1","2",120.041,175.335,2.129,"20180206","invader","20180206-1-2-invader",8.37299999999999,0.509999999999991,"2"
"98","1","2",122.299,175.233,0.574,"20180206","invader","20180206-1-2-invader",2.25800000000001,0.102000000000004,"2"
"99","1","2",126.663,173.218,1.22,"20180206","invader","20180206-1-2-invader",4.36399999999999,2.01500000000001,"2"
"100","1","2",130.208,174.298,0.941,"20180206","invader","20180206-1-2-invader",3.545,1.08000000000001,"2"
"101","1","2",124.725,183.462,2.711,"20180206","invader","20180206-1-2-invader",5.483,9.16399999999999,"2"
"102","1","2",115.665,183.922,2.302,"20180206","invader","20180206-1-2-invader",9.05999999999999,0.460000000000008,"2"
"103","1","2",114.435,182.077,0.563,"20180206","invader","20180206-1-2-invader",1.23,1.845,"2"
"104","1","2",113.047,181.018,0.443,"20180206","invader","20180206-1-2-invader",1.38800000000001,1.059,"2"
"105","1","2",111.618,184.085,0.859,"20180206","invader","20180206-1-2-invader",1.429,3.06700000000001,"2"
"106","1","2",115.017,185.914,0.98,"20180206","invader","20180206-1-2-invader",3.399,1.82899999999998,"2"
"107","1","2",122.918,179.247,2.624,"20180206","invader","20180206-1-2-invader",7.90100000000001,6.66699999999997,"2"
"108","1","2",123.499,175.116,1.059,"20180206","invader","20180206-1-2-invader",0.580999999999989,4.131,"2"
"109","1","2",121.865,172.308,0.825,"20180206","invader","20180206-1-2-invader",1.634,2.80800000000002,"2"
"110","1","2",117.406,171.382,1.156,"20180206","invader","20180206-1-2-invader",4.45899999999999,0.925999999999988,"1"
"111","1","2",116.37,172.101,0.32,"20180206","invader","20180206-1-2-invader",1.036,0.718999999999994,"1"
"112","1","2",115.814,173.915,0.482,"20180206","invader","20180206-1-2-invader",0.556000000000012,1.81399999999999,"1"
"113","1","2",115.21,174.28,0.179,"20180206","invader","20180206-1-2-invader",0.603999999999999,0.365000000000009,"1"
"117","1","2",114.752,174.354,0.153,"20180206","invader","20180206-1-2-invader",0.600999999999999,0.00200000000000955,"1"
"121","1","2",115.965,174.353,0.213,"20180206","invader","20180206-1-2-invader",0.826999999999998,0.147999999999996,"1"
"122","1","2",116.772,174.501,0.208,"20180206","invader","20180206-1-2-invader",0.807000000000002,0.147999999999996,"1"
"143","1","2",118.959,174.501,0.125,"20180206","invader","20180206-1-2-invader",0.484999999999999,0.0840000000000032,"1"
"144","1","2",121.833,172.727,0.857,"20180206","invader","20180206-1-2-invader",2.874,1.774,"1"
"145","1","2",122.376,172.446,0.155,"20180206","invader","20180206-1-2-invader",0.543000000000006,0.281000000000006,"1"
"148","1","2",124.309,171.277,0.429,"20180206","invader","20180206-1-2-invader",1.419,0.91500000000002,"1"
"150","1","2",125.247,170.901,0.184,"20180206","invader","20180206-1-2-invader",0.694999999999993,0.206999999999994,"1"
"151","1","2",126.823,170.779,0.401,"20180206","invader","20180206-1-2-invader",1.57599999999999,0.122000000000014,"1"
